대학명,단대명,학부/학과명,커리큘럼
성균관대학교,소프트웨어융합대학,소프트웨어학과,"프로그래밍기초와실습,소프트웨어세미나,컴퓨터공학세미나,소프트웨어특강,산학협력프로젝트,소프트웨어창업현장실습,공학컴퓨터프로그래밍(C++),컴퓨터개론, 문제해결, 프로그래밍언어, 컴퓨터그래픽스개론, 자료구조개론, 알고리즘개론, 소프트웨어공학개론,모델링과시뮬레이션,시스템프로그램, 데이터베이스개론, 디지털논리회로, 컴퓨터구조개론, 인공지능개론, 기계학습원론, 컴퓨터비전개론,운영체제, 임베디드,소프트웨어개론, 오토마타, 컴퓨터네트웍개론, 멀티코어컴퓨팅,확률과랜덤프로세스,빅데이터 분석방법론,ICT사업운영론, 정보보호개론, AI캡스톤디자인,HCI개론, 인터넷서비스와정보보호,심층신경망개론, 캡스톤 설계프로젝트,소프트웨어개발자를위한기술작문및프리젠테이션,오픈소스SW실습,네트워크프로젝트,임베디드시스템프로젝트,JAVA프로그래밍실습,모바일앱프로그래밍실습,인공지능프로젝트,시스템프로그래밍실습,웹프로그래밍실습,데이터베이스프로젝트,가상현실론 ,고급컴퓨터네트워크설계,네트워크인공지능,분산컴퓨팅원론,소프트웨어구조설계론, 정보시각화,컴파일러와언어원론, 인공지능보안,블록체인과스마트컨트랙트, 시스템보안특론,소프트웨어자동화분석, 강화학습개론"
한양대학교,공과대학,정보시스템학과,"전산학개론 ,C프로그래밍,회계학, 데이터구조,공학도를위한창의적컴퓨팅, C++프로그래밍,정보시스템개론,데이터베이스시스템,오퍼레이팅시스템 ,컴퓨터구조,전문학술영어,마케팅개론,웹시스템프로그래밍, 정보시스템분석, 재무관리,알고리즘분석,정보시스템설계,확률및통계,조직론,글로벌리더십, 프로그래밍언어론,  시스템소프트웨어론,객체지향프로그래밍-JAVA,    ERP시스템, 통신망이론, 소프트웨어공학,컴퓨터네트워크, 테크노경영학(스타트업종합설계) , 인공지능및응용,기술분석과전략, 시스템감리론 , 창업론, 정보보호,전자상거래이론, 정보시스템학종합설계,  셀프리더십,시스템플래닝실습, IT프로젝트관리론,블록체인개론, IT와경영전략"
한양대학교,공과대학,데이터사이언스학부(데이터사이언스전공),"소프트웨어입문설계  ,이산수학,미분적분학,데이터사이언스 기초,창의적소프트웨어 프로그래밍,선형대수,데이터사이언스프로젝트,자료구조론,확률통계론,객체지향시스템설계,공업수학,머신러닝,알고리즘및문제해결기법,데이터베이스 시스템및응용,인지과학기초,인공지능,컴퓨터비전,데이터사이언스,계산인지과학,운영체제,지능형로보틱스,인간컴퓨터상호작용,인공지능베이지안이론,강화학습이론및응용,수치해석 ,딥러닝및응용,인공지능졸업프로젝트,지능형생물정보학"
한양대학교,산업융합학부,정보융합전공,"대학수학 ,산업융합입문 , 산업융합수학,공학도를위한창의적컴퓨팅,확률및통계,인간심리와디자인,정보시각화,경영학입문,파이썬컴퓨팅,데이터구조입문, 컴퓨터그래픽스디자인,웹프로그래밍,모바일앱프로그래밍, 디자인혁신경영,인간중심디자인,프로세스매니지먼트, e-비즈니스,데이터시각화, 소프트웨어공학,데이터마이닝,UI/UX입문, 텍스트마이닝,해석가능인공지능,사운드스케이프디자인,사이버물리시스템(캡스톤디자인), 정보융합종합설계,실험계획법, 지식공학,정보융합창의설계,인공지능,디지털콘텐츠개발"
한양대학교,공과대학,스마트ICT융합전공,"미분적분학,일반물리학,프로그래밍기초,프로그래밍설계방법, 이산수학,데이터베이스 ,게임개발개론,피지컬컴퓨팅,스마트센서와액츄에이터,빅데이터활용사례를통한이해,오픈소스SW기초,자바프로그래밍기초,웹애플리케이션개발,객체지향개발론,모바일게임프로그래밍,스마트ICT융합캡스톤,자료구조,알고리즘 ,디지털미디어아트의이해,컴퓨터그래픽스,스마트ICT융합전공캡스톤,시스템프로그래밍,C#게임프로그래밍,운영체제,컴퓨터네트워크및응용,소프트웨어공학,가상현실게임프로그래밍,인공지능,정보보안론,컴퓨터비전,인간과컴퓨터상호작용"
한양대학교,공과대학,융합공학과,"수치계산,프로그래밍기초,선형대수학,미분수학,공학기초수학,물리학개론,미적분학,공학설계,벡터수학 ,공학일반수학,파이썬프로그래밍,컴퓨터그래픽스,회로이론,정전기학,프로그래밍응용,융합캡스톤기초,공학수학,디지털논리설계 ,전자회로해석,전기회로,정자기학,컴퓨터운영,융합캡스톤입문,시스템프로그래밍,전자회로설계, 융합캡스톤설계,논리설계응용,컴퓨터체제,통합공학,융합공학과연구실심화실습,컴퓨터지원설계,신호와시스템,컴퓨터공학,통신공학,시스템공학,통신공학응용,글로벌기술경영,생산경영,사용성공학,디지털신호처리,자료구조론,시스템설계,확률과통계,통합공학응용,경제성공학,디지털신호처리,자료구조론"
한양대학교,소프트웨어융합대학,컴퓨터전공,"디지탈논리설계,선형대수,오토마타와형식언어론,자료구조론,확률론,Sw창업캡스톤디자인,데이터베이스,소프트웨어개발실무,수치해석,알고리즘설계와분석,음악프로그래밍,전산통계학,고급프로그래밍,운영체제론,컴퓨터공학연구실심화실습,컴퓨터구조,컴퓨터네트워크,컴퓨터비전,객체지향개발론,데이터통신,마이크로프로세서인터페이스.시스템프로그래밍.암호학.컴퓨터그래픽스.컴퓨터캡스톤디자인.모바일컴퓨팅.소프트웨어공학,시스템보안,프로그래밍언어론,네트워크시큐리티,임베디드소프트웨어설계,임베디드운영체제,프로그램검증"
한양대학교,소프트웨어융합대학,소프트웨어전공,"디지탈논리설계,선형대수,오토마타와형식언어론,자료구조론,확률론,Sw창업캡스톤디자인,데이터베이스,소프트웨어개발실무,수치해석,알고리즘설계와분석,음악프로그래밍,전산통계학,고급프로그래밍, 빅데이터검색,운영체제론,컴퓨터구조,컴퓨터비전,객체지향개발론,데이터마이닝,시스템프로그래밍,인공지능,컴퓨터그래픽스,컴퓨터캡스톤디자인,데이터사이언스응용,딥러닝,모바일컴퓨팅,소프트웨어공학,컴퓨터캡스톤디자인,프로그래밍언어론,소셜네트워크분석,임베디드소프트웨어설계컴파일러,프로그램검증"
한양대학교,소프트웨어융합대학,인공지능학과,"논리학,미분적분학,일반물리학,컴퓨터개론,프로그래밍기초,시스템프로그래밍기초,오픈소스Sw기초,인공지능의이해,프로그램설계방법론,글로벌Sw창업디자인1,선형대수,오토마타와형식언어론 ,자료구조론, 텐서프로그래밍,확률론,데이터베이스,소프트웨어개발실무,수치해석,알고리즘설계와분석, 인공지능수학,인공지능실습,전산통계학,기계학습,빅데이터검색,운영체제론,인공지능연구실심화실습,컴퓨터구조,컴퓨터비전,데이터마이닝,시각지능학습, 음성인식,인공지능,인공지능캡스톤디자인,컴퓨터그래픽스,데이터사이언스응용,딥러닝, 소프트웨어공학,자연어처리,고급딥러닝,소셜네트워크분석, 인간컴퓨터상호작용 "
한양대학교,소프트웨어융합대학,컬처테크놀로지전공,"게임디자인,공학과심리,뮤직테크놀로지,선형대수,오픈소스Sw,,자료구조론,자바프로그래밍입문, Ict창업캡스톤디자인,데이터베이스, 모바일게임프로그래밍,모바일앱개발,사운드엔지니어링,스마트센서와액츄에이터,의료인공지능,인간공학과실습,컴퓨터알고리즘 ,Hci연구실심화실습,게임프로그래밍언어, 무대공간분석과디자인,웹애플리케이션개발,인간-컴퓨터시스템설계 ,창의캡스톤디자인,피지컬컴퓨팅,Hci연구실심화실습,감성Ui/Ux ,사용자경험및사용성,의공학및뇌공학의이해,인터렉티브공연디자인,창의캡스톤디자인,컴퓨터그래픽스,3d게임프로젝트설계, Ict융합캡스톤디자인, 웰니스디자인 ,3d사용자인터페이스, Ict융합캡스톤디자인,문화콘텐츠저작권,인터랙티브멀티미디어"
한양대학교,소프트웨어융합대학,디자인테크놀로지전공,"Mr&미디어,감성미학,공학과심리,디자인공학드로잉&2d실습,오픈소스Sw,인공지능의이해,자료구조론,4차산업과문화융합혁신프로젝트,Ar/Vr기술응용,Ict창업캡스톤디자인 ,데이터베이스,디자인공학드로잉&3d실습,디자인공학소프트웨어실습(3d모델링&프린팅),신산업융합디자인,인간공학과실습,컴퓨터알고리즘,Hci연구실심화실습,가상인터페이스디자인,디자인소프트웨어실습,융합기술과이노베이션디자인,인간-컴퓨터시스템설계,창의캡스톤디자인,피지컬컴퓨팅,3d그래픽응용, Hci연구실심화실습,가상및증강현실시스템,감성Ui/Ux,다중미디어컨텐츠디자인,  커넥티드오토모빌리티융합개발,컴퓨터그래픽스,Ict융합캡스톤디자인,디자인마케팅과컨설팅,리빙랩이론과실제,스마트실감형어플리케이션개발,융복합미디어소비자심리,융합서비스디자인설계,인터랙티브멀티미디어"
한양대학교,디자인대학,산업디자인학과," 캡스톤디자인,디자인전공세미나,산학협동연구,일상과디자인,4차산업융합디자인,디자인과창업,디자인전공세미나,상품기획,디자인마케팅,CAD,운송기기디자인,리빙웨어디자인,인더스트리얼,디자인가공학,인간공학,디자인방법론,유니버설디자인 ,테이블웨어디자인, 프로덕트디자인,디자인가공학,디자인방법론,3D디자인,,디자인론,조명디자인,도학 ,3D디자인,기초디자인,색채학,기초컴퓨터응용디자인,크리에이티브워크샵"
한양대학교,디자인대학,커뮤니케이션디자인학과," 패키지디자인스타트업,디자인워크샵,디자인혁신,포트폴리오연구,서피스인테리어디자인스튜디오,실내디자인워크샵,디자인싱킹&메이킹,실내디자인스튜디오, 캡스톤디자인,디자인과창업,논리및논술(디자인),조명디자인,UX·UI디자인,스마트패키지디자인,브랜드디자인과내셔널브랜드,정보서비스디자인,리빙토탈코디네이션 ,악세서리서피스디자인,실내디자인프로젝트,캡스톤디자인,편집디자인,비주얼머천다이징,UX·UI디자인,브랜드디자인과로컬브랜드,정보서비스디자인,실내디자인프로젝트,실내디자인실무기법,리빙웨어프로덕트디자인 ,디자인방법론 ,커뮤니케이션디자인스튜디오, 패키지디자인매니지먼트,인테리어서피스,웹디자인, 공간디자인,서피스프린팅,일러스트레이션과캐릭터디자인,시각전달디자인,패키지디자인메이킹,커뮤니케이션디자인방법론,인테리어서피스,실내디자인표현기법,공간디자인,서피스패턴드로잉,일러스트레이션과캐릭터디자인,입체조형디자인,타이포그래피,3D컴퓨터디자인, 기초디자인,컴퓨터와디자인     "
한양대학교,융합전공,신산업소프트웨어전공,"신산업과소프트웨어,프로그래밍,소프트웨어융합캡스톤디자인,고급컴퓨터활용,모바일프로그래밍입문,웹퍼블리싱,컴퓨터그래픽응용 ,컴퓨팅과데이터처리 ,데이터분석과시각화,드론SW제작,디지털포트폴리오 ,안드로이드앱프로그래밍웹서비스구축,IoT이해와활용,크리에이티브비디오,Spark와빅데이터,데이터베이스기초,운영체제기초,전산통계학기초,프로그램설계방법론기초,그림으로배우는컴퓨터구조기초,멀티미디어정보처리기초,빅데이터이해와분석,시스템프로그래밍기초,오픈소스SW기초,프로그램설계방법론 ,컴퓨터개론,수치해석 ,빅데이터검색,데이터마이닝,인공지능,데이터사이언스응용,딥러닝,소셜네트워크분석,컴파일러,컴퓨터전공,디지탈논리설계 ,자료구조론,오토마타와형식언어론,알고리즘설계와분석 ,음악프로그래밍,데이터베이스,소프트웨어개발실무 ,시스템프로그래밍,고급프로그래밍,운영체제론,컴퓨터구조,컴퓨터네트워크 ,컴퓨터비전,마이크로프로세서인터페이스,암호학,객체지향개발론,컴퓨터그래픽스,데이터통신,모바일컴퓨팅,소프트웨어공학 ,임베디드운영체제,시스템보안 ,프로그래밍언어론,프로그램검증,네트워크시큐리티,임베디드소프트웨어설계 ,디지털커뮤니케이션론 ,기계학습,인공지능디자인과응용,선형대수,게임디자인,게임프로그래밍언어,뮤직테크놀로지,인공지능의이해,모바일앱개발,모바일게임프로그래밍,디지털테크놀로지전공,신산업융합디자인,4차산업과문화융합혁신프로젝트,융합기술과이노베이션디자인,계량경영,경영정보시스템,e-Business론,정보통신경제론 ,통계프로그래밍과데이터분석,건설프로그래밍,딥러닝응용 ,BIM통합설계,디지털모델링,확률통계론,교통물류빅데이터마이닝 ,교통물류데이터과학및인공지능 ,내장형시스템설계,인공지능설계,사이버보안,기계공학과,수치계산 ,컴퓨터지원설계,로봇공학과,로봇프로그래밍 컴퓨터구조론,기계학습론,프로그래밍언어,빅데이터애널리틱스 ,데이터구조론,마이크로프로세서응용,컴퓨터구조및운영체제,전산통계및실습 ,빅데이터분석 ,머신러닝 ,나노광전자학과,공학프로그래밍,문화인류학과 미디어인류학,UI/UX디자인 ,게임기획과퍼블리싱,게임개발론,언어정보의처리방법,영상문화론,크리에이티브프로그래밍,크리에이티브프로토타이핑,커뮤니케이션디자인학과,웹디자인,정보서비스디자인,3D디자인 ,인더스트리얼디자인,디지털미디어,데이터애널리틱스,심화데이터애널리틱스,데이터예측모델과기계학습의응용,빅데이터시각화와인포그래픽스"
한양대학교,융합전공,디자인공학전공,"감성미학,디자인공학기초드로잉실습,디자인공학제품드로잉실습,창의캡스톤디자인,제품색채응용,디자인공학캡스톤디자인,공학과심리,인간공학과실습,감성UI/UX,건축구조의기본,건축재료,일반구조,CADD,기계공학입문설계,컴퓨터지원설계,데이터구조론,기초디자인,크리에이티브워크샵,3D디자인,조명디자인,디자인방법론,유니버설디자인,프로덕트디자인,CAD,디자인가공학,운송기기디자인,인더스트리얼디자인,크리에이티브프로그래밍,크리에이티브프로토타이핑,엔터테인먼트사운드디자인,타이포그래피"
한양대학교,융합전공,산업인공지능전공,"Spark와빅데이터,데이터베이스기초,빅데이터이해와분석,전산통계학기초,컴퓨팅과데이터처리,데이터분석과시각화,논리학,프로그래밍기초,시스템프로그래밍기초,이산수학,프로그램설계방법론 ,선형대수,확률론,알고리즘설계와분석,운영체제론,시스템프로그래밍,자료구조론,빅데이터검색,컴퓨터구조,인공지능,데이터사이언스응용,딥러닝,기계학습 ,인공지능의이해,데이터베이스,전산통계학,인공지능디자인과응용,로봇프로그래밍,기계학습론,로봇지능,데이터마이닝,빅데이터애널리틱스,산업인공지능,인공지능과알고리즘,전산통계및실습,빅데이터분석,머신러닝,최적화이론및응용,회귀분석,딥러닝의기초및응용"
중앙대학교,예술공학대학,예술공학부,"기초프로그래밍,심화프로그래밍,예술공학개론,객체지향프로그래밍,오픈소스프로그래밍,비주얼 컴퓨팅,데이터표현 및 알고리즘,라이팅 테크놀로지,표준 웹 테크놀로지,사운드 테크놀로지,컴퓨터그래픽스,데이터저장 및 응용기술,게임엔진 1,영상처리및비전,게임엔진2,시각효과프로덕션,피지컬컴퓨팅과제어,인공지능과머신러닝,고급 시각효과 기술,지능형 영상비전,이머시브 미디어 기술,디지털헤리티지와 테크놀로지,컨셉스튜디오,응용예술공하그인터렉티브 UX 디잔인,디지털아카이빙과 데이터 시각화, 크리에이티브 테크놀로지, 캡스톤 디자인 프로젝트"
