중분류,소분류,학과
간호,간호학,"간호과학과,간호과학부,간호보건학부,간호학과,간호학부,간호학전공,감염관리간호전공,간호학부(특별과정),간호전공,간호대학,의과대학 간호학과,의료생명대학 간호학과,간호과학전공,간호학과(이공대학),간호학과(한의과대학),간호학과,간호학과(특별과정),간호학(야간),간호학과(자연과학계열),간호학전공(야간),교양대학(의약),글로벌건강간호학전공,간호학과(4년제),간호학부(간호학전공),간호학과(야간),간호복지학부,간호학부 간호학과"
건축,"건축ㆍ설비공학,건축학,조경학","건축·토목·환경계열학과군,건축공학계열,건축공학과,건축공학리모델링전공,건축공학부,건축공학ㆍ설비공학부,건축공학전공,건축도시공학부,건축도시토목공학계열,건축도시토목환경공학부,건축메카트로닉스공학과군,건축설비・기계공학부,건축설비공학과,건축설비공학전공,건축설비학과,건축설비학전공,건축시스템공학부,건축ㆍ건설시스템공학부,건축ㆍ메카트로닉스공학과군,건축조경및토목공학부,건축조경토목공학부,건축컴퓨터공학과군,건축토목공학과군,건축토목공학부,건축토목도시공학부,건축토목환경공학과군,건축토목환경공학부,건축화학재료공학계열,건축환경생명공학부,건축환경설비학과,건축환경시스템학부,건축환경토목공학과군,건축환경화학공학군,도시건축공학부,사회환경건축공학부,실내건축공학전공,건축공학ㆍ빌딩시스템공학부,빌딩시스템공학전공,건축ㆍ도시공학과군,토목환경건축공학과군,건축사회환경시스템공학부,토목ㆍ건축대학,건설토목환경공학과,건축설비시스템공학과,도시공학부,토목설계전공,해양건축공학과,건축시스템전공,건설환경공학부(건축공학전공),공학부 건축공학전공,건축공학부 건축공학전공,건축토목공학부 건축공학전공,토목환경소방방재공학과군,건축토목환경공학부 건축공학전공,인테리어리모델링학과,건축학전공(5년),리조트개발학과,공과대학 건축공학과,건설・건축디자인학부,환경설비공학과,산업건축학과,건축・도시・토목환경공학부,건축학부 건축공학전공,건축조형계열,이공대학 건축공학과,건축공학·실내건축전공,건축공학과 건축공학전공,IT·건축조형대학 건축공학과,건축・사회환경공학부,건축・사회환경공학과,건축소방행정학과,건설학부,건축설비소방학과,건축공학전공/건축토목환경공학부,건축공학전공/건축공학부,건축・토목공학부 건축공학전공,건축·토목공학부,건축산업학과,사회환경시스템학과,건설방재공학과,건축도시환경공학부(건축시스템공학전공, 건축디자인전공, 도시환경공학전공),건축·실내디자인학부,건축도시환경공학부 건축시스템공학전공,건축도시환경공학부 건축디자인전공,건축도시환경공학부 도시환경공학전공,건축도시공학부(건축공학전공),건축도시공학부(건축학전공(5년제)),친환경건축문화학과,건축공학.리모델링전공,건축・건설시스템공학부,건축학부 건축공학심화전공,건축학부 건축공학일반전공,건축공학ㆍ리모델링전공,건축학부(건축공학전공),건축공학과 시설물유지관리전공,토목건축환경공학부(건축공학전공),건축공학과 건설기술전공,건설방재공학부,건축・토목학과,플랜트・건축공학과,건축학부건축공학전공,설비공학과,건설방재공학부 건설방재공학전공,건설방재공학부 건설환경공학전공,건설환경플랜트공학과,건설기술학,지역개발학부 건축학전공,설비플랜트·소방방재공학과,건설환경공과대학 계열,플랜트건설공학전공,건축시스템공학과,건축도시토목공학부,건설융합학부 건축공학전공,건축사회환경학부,건축·토목공학과,건축·토목학부,건축도시학부,건축토목공학과,건축토목공학과 건축공학트랙,건축학,인간환경융합공학부 건축공학과,토목교통공학부,건축・해양건설융합공학부,건설환경도시교통공학부,휴먼건축공학부,건축도시시스템공학전공,건축・토목공학과(건축공학심화트랙),건설환경에너지공학부,건설환경계열,부동산건설학부,건축환경설비공학과,건축공학(4년제),건축도시토목공학부(건축공학전공),건축·토목·환경공학부,건축공학프로그램,건축기계설비공학과,건축공학과(에너지소방전공),건축공학과(건축공학전공),건축안전공학과,융합건설시스템학과,건축계열,건축도시조경학부,건축설계전공,건축설계학과,건축설계학전공,건축실내건축학부,건축실내디자인학부,건축안경환경학부,건축인테리어학부,건축조경학부,건축토목조경학부,건축학과,건축학부,건축학전공,건축환경학부,실내건축전공,실내건축학과,실내건축학전공,디지털건축전공,인테리어건축학전공,조명인테리어학과,인테리어·리모델링전공,웰빙건축학과,조명학부,건축학부(건축학(5년제)),건축학부(건축공학),건축・인테리어디자인학과,건축대학,공학대학 건축공학과,공학대학 건축학과,건축학부 건축학전공,건축대학 건축학부 건축학전공,건축대학 건축학부 실내건축학전공,건축공학부 건축학전공,건축공학과 건축학전공,건축학부(5년제),IT·건축조형대학 실내건축학과,IT·건축조형대학 건축학과,건축인테리어학과,문화건축학부,건축학과(5),건축전공,건축학부 실내건축전공,IT·건축조형대학 건축조형계열,건축디자인전공,건축학부(독립학부),건축학부 건축디자인전공,인테리어학전공,건축인테리어학전공,건축학부 건축학전공(5년제),건축학전공/건축공학부,건축·토목공학부 건축학전공,건축과,전통건축학과,건축학부 전통건축전공,건축토목공학부(건축학전공),건축학부 전통건축전공(5년제),조명공학과,해양건설공학과,건축사회환경공학부,건축학부 실내건축학전공,건축실내학과,해양공간건축학과,도시건축학부,건축・토목설계학부,건축학대학,건축일반전공,건축학부(건축학전공),해양・플랜트건설공학과,해양건설시스템공학과,의료건축디자인공학과,건축실무학과,건축학부건축학전공,건축환경학과,건축·디자인·패션대학 건축학과(5),그린조명공학과,건축공학과 건축기술전공,친환경건축시스템공학과,건축학과(건축공학전공),건축학과(건축학전공(5년)),건축(학연산)학과,건축플랜트학과,건축학과(5년제),건축공학부 건축학전공(5년제),친환경건축학과,건축시스템공학전공,건축도시설계전공(5년),건축디자인학부,친환경건축학전공,건축학전공(5년제),건설융합학부,건설융합학부 건축학전공,건축융복합학과,건축학과 실내건축디자인전공,건축학과 건축학전공(5년제),사회환경디자인공학부(건축전공),건축학부(건축학전공/전통건축전공) (5년제),도시건축학전공,디자인ㆍ건축공학부,실내건축디자인학전공,인간환경융합공학부,건축토목공학과(건축공학심화트랙),건축공간디자인학과,공간디자인융합기술학과,공항건축전공,건축도시부동산학부,생태주거디자인학과,건축학・건축공학전공,건축공학부 건축디자인전공(5년제),건축학(5년제),건축학프로그램(5년),스마트융합공학부 건축IT융합전공,디자인건축융합학부,관광조경학과,녹지조경학과,도시조경학과군,도시조경학부,조경공학과,조경학과,조경학전공,환경설계학부,조경도시디자인학과,원예·조경학부(조경학전공),조경디자인학전공,자연과학대학 조경학과,생명환경대학 조경학과,공과대학 조경학과,이공대학 조경학과,조경도시디자인학과(이공대학),조경학과 자연과학대학,전통조경학과,도시환경조경학전공,조경학,조경・지역시스템공학부(지역시스템공학전공),조경・지역시스템공학부(조경학전공),조경학과(한국조형사회),산림조경학과,산림조경학전공,산림과학.조경학부 조경학전공,조경학과(한국조경사회),도시환경예술디자인전공,조경전공,산림자원・조경학부(조경전공),조경학-경영학 전공,융합전공 환경조경디자인전공,조경도시계획전공,도시·조경학부(조경학전공),정원문화산업학과,융합전공학부 조경학-환경생태도시학전공,융합전공학부 조경학-경영학 전공,환경원예조경학부 녹지조경학전공"
